"DO";"PH";"lat";"lon";"temperature";"ts"
16.35300064086914;4.822999954223633;13.698415756225586;-89.21520233154297;16.367000579833984;"2023-05-26T21:25:54.917Z"
16.751998901367188;4.891000270843506;13.698415756225586;-89.21520233154297;16.759000778198242;"2023-05-26T21:30:54.903Z"
17.095998764038086;5.01200008392334;13.698415756225586;-89.21520233154297;17.225000381469727;"2023-05-26T21:35:54.906Z"
17.36199951171875;5.155999660491943;13.698415756225586;-89.21520233154297;17.386999130249023;"2023-05-26T21:40:54.900Z"
17.729000091552734;5.1519999504089355;13.698415756225586;-89.21520233154297;17.746999740600586;"2023-05-26T21:45:54.946Z"
17.888999938964844;5.269999980926514;13.698415756225586;-89.21520233154297;17.88599967956543;"2023-05-26T21:50:54.901Z"
18.156999588012695;5.259999752044678;13.698415756225586;-89.21520233154297;18.161001205444336;"2023-05-26T21:55:55.169Z"
18.45800018310547;5.39300012588501;13.698415756225586;-89.21520233154297;18.326000213623047;"2023-05-26T22:00:55.423Z"
18.58799934387207;5.348999977111816;13.698415756225586;-89.21520233154297;18.600000381469727;"2023-05-26T22:05:54.907Z"
18.753000259399414;5.36299991607666;13.698415756225586;-89.21520233154297;18.750999450683594;"2023-05-26T22:10:54.908Z"
18.92500114440918;5.361999988555908;13.698415756225586;-89.21520233154297;18.926000595092773;"2023-05-26T22:15:55.622Z"
19.136999130249023;5.377999782562256;13.698415756225586;-89.21520233154297;19.137998580932617;"2023-05-26T22:20:54.915Z"
19.329999923706055;5.453999996185303;13.698415756225586;-89.21520233154297;19.322999954223633;"2023-05-26T22:25:54.904Z"
19.445999145507813;5.468999862670898;13.698415756225586;-89.21520233154297;19.565000534057617;"2023-05-26T22:30:55.173Z"
19.75800132751465;5.471999645233154;13.698415756225586;-89.21520233154297;19.76599884033203;"2023-05-26T22:35:54.965Z"
19.93000030517578;5.48799991607666;13.698415756225586;-89.21520233154297;19.92300033569336;"2023-05-26T22:40:55.224Z"
20.055999755859375;5.480000019073486;13.698415756225586;-89.21520233154297;20.062000274658203;"2023-05-26T22:45:54.915Z"
20.256000518798828;5.5320000648498535;13.698415756225586;-89.21520233154297;20.259000778198242;"2023-05-26T22:50:54.980Z"
20.64099884033203;5.443000316619873;13.698415756225586;-89.21520233154297;20.634000778198242;"2023-05-26T23:00:28.264Z"
20.784000396728516;5.264999866485596;13.698415756225586;-89.21520233154297;20.7810001373291;"2023-05-26T23:05:27.845Z"
20.937999725341797;5.187999725341797;13.698415756225586;-89.21520233154297;20.944000244140625;"2023-05-26T23:10:27.881Z"
20.970998764038086;5.145999908447266;13.698415756225586;-89.21520233154297;20.958999633789063;"2023-05-26T23:15:27.967Z"
21.138999938964844;5.119999885559082;13.698415756225586;-89.21520233154297;21.14099884033203;"2023-05-26T23:20:27.836Z"
21.30699920654297;5.0320000648498535;13.698415756225586;-89.21520233154297;21.323999404907227;"2023-05-26T23:25:27.835Z"
21.33300018310547;4.985000133514404;13.698415756225586;-89.21520233154297;21.320999145507813;"2023-05-26T23:30:27.937Z"
21.520999908447266;4.9710001945495605;13.698415756225586;-89.21520233154297;21.523000717163086;"2023-05-26T23:35:27.978Z"
21.66499900817871;4.964000225067139;13.698415756225586;-89.21520233154297;21.677000045776367;"2023-05-26T23:40:28.394Z"
21.79599952697754;4.98199987411499;13.698415756225586;-89.21520233154297;21.803998947143555;"2023-05-26T23:45:28.546Z"
